trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.4, 'e': 0.7849999999999998}",20,12,-43.1086176954236,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.4, 'e': 0.7799999999999998}",30,0,-88.74026061229178,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.4, 'e': 0.7749999999999998}",20,0,-74.0532583203233,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
46,False,"{'a': 0.4, 'e': 0.7699999999999998}",30,0,-139.76686471426416,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
47,False,"{'a': 0.4, 'e': 0.7649999999999998}",25,0,-107.22176672909279,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
48,False,"{'a': 0.4, 'e': 0.7599999999999998}",20,0,-127.30767151451137,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
49,False,"{'a': 0.4, 'e': 0.7549999999999998}",30,0,-82.79967331595975,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
50,False,"{'a': 0.4, 'e': 0.7499999999999998}",30,0,-59.41843068329343,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
51,False,"{'a': 0.4, 'e': 0.7449999999999998}",20,11,2.9890206122925846,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.4, 'e': 0.7399999999999998}",25,0,-111.4894616925474,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
53,False,"{'a': 0.4, 'e': 0.7349999999999998}",20,10,-5.839635656082604,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.4, 'e': 0.7299999999999998}",20,0,-20.216277002906118,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
55,False,"{'a': 0.4, 'e': 0.7249999999999998}",25,0,-137.8452595578095,"{0: 18, 1: 0, 2: 2, 3: 3, 4: 2}",0
56,False,"{'a': 0.4, 'e': 0.7199999999999998}",25,0,-12.958194841007849,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
57,False,"{'a': 0.4, 'e': 0.7149999999999997}",20,0,-168.4304378362768,"{0: 12, 1: 4, 2: 0, 3: 0, 4: 4}",0
58,False,"{'a': 0.4, 'e': 0.7099999999999997}",25,0,-173.6882982187683,"{0: 11, 1: 0, 2: 11, 3: 2, 4: 1}",0
59,False,"{'a': 0.4, 'e': 0.7049999999999997}",25,0,-130.85159281140645,"{0: 11, 1: 8, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.4, 'e': 0.6999999999999997}",25,0,-109.5998655070161,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
61,False,"{'a': 0.4, 'e': 0.6949999999999997}",35,0,-180.0145053714345,"{0: 26, 1: 0, 2: 5, 3: 0, 4: 4}",0
62,False,"{'a': 0.4, 'e': 0.6899999999999997}",25,0,-159.77969062878032,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
63,False,"{'a': 0.4, 'e': 0.6849999999999997}",20,0,-56.98213130656017,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
64,False,"{'a': 0.4, 'e': 0.6799999999999997}",25,0,-31.800738876810673,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
65,False,"{'a': 0.4, 'e': 0.6749999999999997}",25,0,-33.037833249586804,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
66,False,"{'a': 0.4, 'e': 0.6699999999999997}",25,0,-74.48502772183615,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
67,False,"{'a': 0.4, 'e': 0.6649999999999997}",25,0,-133.30672085178043,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
68,False,"{'a': 0.4, 'e': 0.6599999999999997}",35,4,-185.74595886667103,"{0: 21, 1: 1, 2: 3, 3: 3, 4: 3}",1
69,False,"{'a': 0.4, 'e': 0.6549999999999997}",25,0,-99.16794898747256,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
70,False,"{'a': 0.4, 'e': 0.6499999999999997}",20,0,-79.63230176394403,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
71,False,"{'a': 0.4, 'e': 0.6449999999999997}",25,0,-179.51366046529972,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
72,False,"{'a': 0.4, 'e': 0.6399999999999997}",30,0,-114.42840211542347,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
73,False,"{'a': 0.4, 'e': 0.6349999999999997}",30,7,-208.0070360965302,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 4}",1
74,False,"{'a': 0.4, 'e': 0.6299999999999997}",20,0,-131.18690143929737,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
75,False,"{'a': 0.4, 'e': 0.6249999999999997}",25,18,-41.6790145289668,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.4, 'e': 0.6199999999999997}",25,0,-84.61734254740492,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
77,False,"{'a': 0.4, 'e': 0.6149999999999997}",35,9,-89.05304264112962,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 2}",1
78,False,"{'a': 0.4, 'e': 0.6099999999999997}",25,0,-131.72797152495872,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
79,False,"{'a': 0.4, 'e': 0.6049999999999996}",25,11,-13.071465466046266,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
80,False,"{'a': 0.4, 'e': 0.5999999999999996}",30,0,-140.19864479218646,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
81,False,"{'a': 0.4, 'e': 0.5949999999999996}",20,0,-89.58594457261763,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
82,False,"{'a': 0.4, 'e': 0.5899999999999996}",25,4,-19.459612659035457,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.4, 'e': 0.5849999999999996}",25,18,1.9892284583326727,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.4, 'e': 0.5799999999999996}",25,0,-57.996687476177804,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
85,False,"{'a': 0.4, 'e': 0.5749999999999996}",25,0,-44.20495096015611,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
86,False,"{'a': 0.4, 'e': 0.5699999999999996}",20,0,-90.76000120975486,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
87,False,"{'a': 0.4, 'e': 0.5649999999999996}",20,2,-23.647271497338757,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
88,False,"{'a': 0.4, 'e': 0.5599999999999996}",35,24,-29.38742413346984,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.4, 'e': 0.5549999999999996}",30,19,-26.584583093974068,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.4, 'e': 0.5499999999999996}",30,6,-124.00153385399425,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 2}",1
91,False,"{'a': 0.4, 'e': 0.5449999999999996}",20,0,-16.55973576714312,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
92,False,"{'a': 0.4, 'e': 0.5399999999999996}",20,2,-31.448272459950818,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
93,False,"{'a': 0.4, 'e': 0.5349999999999996}",30,13,-60.36660677315424,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
94,False,"{'a': 0.4, 'e': 0.5299999999999996}",25,0,-88.15922844719837,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
95,False,"{'a': 0.4, 'e': 0.5249999999999996}",20,0,1.549269459693973,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
96,False,"{'a': 0.4, 'e': 0.5199999999999996}",30,14,5.933861337713237,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.4, 'e': 0.5149999999999996}",20,0,-105.54581333585598,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
98,False,"{'a': 0.4, 'e': 0.5099999999999996}",25,7,5.521695620573109,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.4, 'e': 0.5049999999999996}",25,0,-21.22474692985952,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
100,False,"{'a': 0.4, 'e': 0.49999999999999956}",20,0,-23.867439109410963,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
101,False,"{'a': 0.4, 'e': 0.49499999999999955}",20,0,-44.09022520668171,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
102,False,"{'a': 0.4, 'e': 0.48999999999999955}",20,0,-8.108948538814612,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
103,False,"{'a': 0.4, 'e': 0.48499999999999954}",20,0,0.8557160819201539,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
104,False,"{'a': 0.4, 'e': 0.47999999999999954}",20,0,-38.949453669390316,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
105,False,"{'a': 0.4, 'e': 0.47499999999999953}",25,0,-52.563561891140196,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
106,False,"{'a': 0.4, 'e': 0.46999999999999953}",30,0,-40.39094760067013,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
107,False,"{'a': 0.4, 'e': 0.4649999999999995}",20,7,10.79452936542156,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.4, 'e': 0.4599999999999995}",25,19,9.50794965964168,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.4, 'e': 0.4549999999999995}",25,6,-42.96192484007012,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 1}",1
110,False,"{'a': 0.4, 'e': 0.4499999999999995}",20,0,-35.518724566112205,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
111,False,"{'a': 0.4, 'e': 0.4449999999999995}",30,0,-37.41209254817245,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
112,False,"{'a': 0.4, 'e': 0.4399999999999995}",20,1,-15.349714661795552,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.4, 'e': 0.4349999999999995}",25,3,-54.803770635565215,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 0}",1
114,False,"{'a': 0.4, 'e': 0.4299999999999995}",20,0,15.417548391164367,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
115,False,"{'a': 0.4, 'e': 0.4249999999999995}",20,15,10.269196278254721,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.4, 'e': 0.4199999999999995}",30,5,-75.62607542711191,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",1
117,False,"{'a': 0.4, 'e': 0.4149999999999995}",25,0,-26.952926098738953,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
118,False,"{'a': 0.4, 'e': 0.4099999999999995}",20,0,-77.08763348690508,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",1
119,False,"{'a': 0.4, 'e': 0.40499999999999947}",20,0,10.852217113211086,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
120,False,"{'a': 0.4, 'e': 0.39999999999999947}",25,14,17.23764233930418,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.4, 'e': 0.39499999999999946}",25,19,11.523704178241932,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.4, 'e': 0.38999999999999946}",20,14,-42.408035619571145,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
123,False,"{'a': 0.4, 'e': 0.38499999999999945}",25,11,9.644470609985056,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
